X,Y,OBJECTID,LRSDate,RouteIdentifier,Location,DirectionOfTravel,StateRouteNumber,RelatedRouteType,RelatedRouteQualifier,SingleUnitTruckPct,DoubleUnitTruckPct,TripleUnitTruckPct,AADT,AccumulatedRouteMile,GlobalID,ReportingYear
-13654726.840385,5724285.15712116,1,2022/12/31 08:00:00+00,005R500252,"R5 RAMP (SR 5 SB TO 39TH ST)  AFTER MILEPOST 0.00: SR 5 SB INTERSECTION; BEGIN ROUTE",West,005,R5,00252,,,,6100,0.230000004,{3F7ACF3D-187F-404A-AD5D-CC9803559631},2022
-13093568.0652944,6116797.46300255,2,2022/12/31 08:00:00+00,292,SOUTHEAST OF MILEPOST 5.87: COLVILLE RD INTERSECTION,Bothways,292,,,,,,4100,5.86000013,{13C4CB58-EF4D-4A60-9423-0C4CEB4284EB},2022
-13602214.112291,6103598.69184248,3,2022/12/31 08:00:00+00,002,"EAST OF MILEPOST 0.00B: SR 529-MAPLE ST INTERSECTION; BEGIN ROUTE",West,002,,,2.69000006,0.529999971,0,5100,0.00999999978,{CD06ACB7-DCA4-4318-8BF4-2A0363A6DD2A},2022
-13654945.5100459,5741459.07339221,4,2022/12/31 08:00:00+00,005,NORTH OF MILEPOST 9.94: OLD SR 502*NE 179TH ST ON RAMP,Bothways,005,,,,,,114000,9.94999981,{2A783070-6530-49DA-AEDA-CF0D0137A751},2022
-13613519.7573704,6076114.77528701,5,2022/12/31 08:00:00+00,524SPCEDRWY,NORTH OF MILEPOST 5.07: OFF RAMP WYE CONNECTION,Bothways,524,SP,CEDRWY,,,,26000,0.419999987,{2488A7C0-CDE3-4DFB-88E8-D79267A6026A},2022
-13048588.2165073,6052624.94543265,6,2022/12/31 08:00:00+00,090P129050,"P1 RAMP (SR 90 EB TO EVERGREEN RD)  AFTER MILEPOST 0.00: SR 90 EB INTERSECTION; BEGIN ROUTE",Southeast,090,P1,29050,,,,6500,0.409999996,{0491BB03-951B-400C-B810-E0DF4F2D3F79},2022
-13619411.3235821,6070186.31995736,7,2022/12/31 08:00:00+00,099R504362,"R5 RAMP (SR 99 SB TO SR 104 EB)  AFTER MILEPOST 0.00: SR 99 SB INTERSECTION; BEGIN ROUTE",East,099,R5,04362,,,,1700,0.219999999,{98B36E9F-C809-4035-AF0D-6C5D53EA624D},2022
-13638213.4541363,6044644.60359008,8,2022/12/31 08:00:00+00,305,SOUTH OF MILEPOST 0.22: WINSLOW WAY INTERSECTION,Bothways,305,,,8.06999969,0.209999993,0,6800,0.189999998,{4AEB7AE8-206F-4DB0-B857-CC0E1054CF98},2022
-13579938.4875754,6084531.8329591,9,2022/12/31 08:00:00+00,002,SOUTHEAST OF MILEPOST 13.87: 179TH AVE SE INTERSECTION,Bothways,002,,,,,,29000,13.96,{6CE166F0-0BB7-4CC6-AF2C-3101DE03822E},2022
-13617360.4139284,6041155.04045356,10,2022/12/31 08:00:00+00,005RL005EXP,"NORTHWEST OF MILEPOST 165.29: ENTRANCE FROM SR 5 NB; BEGIN ROUTE",Bothways,005,RL,005EXP,2.69000006,2.78999996,0.360000014,18000,0.00999999978,{B27B66A9-4B34-4EA3-9B8B-A1BD4D18AD11},2022
-13652162.7088726,6084884.04994775,11,2022/12/31 08:00:00+00,104,"WEST OF MILEPOST 13.76: PARADISE BAY RD, SHINE RD INTERSECTION",Bothways,104,,,6.90999985,5.61999989,0.790000021,15000,13.5500002,{B467BC6C-A4D3-40DC-8CA4-58A3AE1ABBA1},2022
-13451272.3601267,5729646.40936258,12,2022/12/31 08:00:00+00,097,EAST OF MILEPOST 0.28: MARYHILL STATE PARK ENTRANCE/EXIT,Bothways,097,,,7.38999987,23.1299992,2.6400001,6000,0.529999971,{7FF1B01D-04DF-456A-9472-EDC7D2EBD834},2022
-13529332.9649865,5938805.50368376,13,2022/12/31 08:00:00+00,410,NORTH OF MILEPOST 57.49: CRYSTAL MOUNTAIN BLVD INTERSECTION,Bothways,410,,,,,,1400,48.5900002,{E3CAF483-F0B3-4656-8FFA-CC858D91E986},2022
-13683739.0582876,5946265.03103226,14,2022/12/31 08:00:00+00,101,AT MILEPOST 366.42: COOPER POINT RD SW UNDERCROSSING,Bothways,101,,,,,,71000,364.570007,{A9B62694-E719-4167-8482-DDC103BBF8B0},2022
-13685094.3453696,5934366.90012845,15,2022/12/31 08:00:00+00,121,EAST OF MILEPOST 7.55: SR 5 NB OFF RAMP WYE CONNECTION,Bothways,121,,,5.36999989,6.96000004,0.180000007,16000,7.53999996,{D29A5316-5477-4261-BFC4-9143112BC4BC},2022
-13610928.6760123,6271668.61368271,16,2022/12/31 08:00:00+00,009,AT MILEPOST 96.30: EASTERBROOK CREEK BRIDGE,Bothways,009,,,4.71999979,12.4700003,2.79999995,5000,95.8600006,{E736000F-3FEF-4D11-80FB-BD878FD6FA7E},2022
